Response Id,Where did you attend SEO Scholars?,High School Graduation Year (Class),Group,Race/Ethnicity,Not listed (Race/Ethnicity ),Gender Identity:,Not listed (Gender Identity),What do you like most about SEO?,What do you dislike most about SEO?,I enjoy coming to SEO most of the time.,I try to do my best in my SEO courses.,My instructors’ expectations make me want to do my best.,What I learn in class helps me outside of SEO.,I take pride in my SEO work.,I am getting a high-quality education through SEO.,My classmates at SEO are supportive of me.,I am comfortable seeking assistance from my classmates at SEO.,I feel connected to my peers at SEO.,How would you rate the communication and support provided by SEO staff and instructors?,Did SEO meet your expectations in terms of content and quality?,Have you noticed any improvements in your academic performance since participating in SEO?,I would recommend SEO Scholars to a friend.,Why or why not?,Because your instructors ask or tell you to?,Even when your instructor doesn't ask or tell you to?,Most students at SEO want to do well in class.,I really feel like part of the SEO community.,I can usually be myself around other students at SEO.,Most students at SEO are friendly to me.,Most adults at SEO treat students with respect.,Discipline at SEO is fair.,"Adults at SEO respect people from different backgrounds (e.g. people of different races, ethnicities, and genders).","If given the option, I believe that Weekday programming should:",Brightspace,Desmos,Hypothesis,Nearpod,What would make your experience on the platforms above better? Please explain below.,Navigating in and out of your Math courses to access ELA content,Navigating in and out of your ELA courses to access Math content,Process of submitting your Math assignments,Process of submitting your ELA assignments,Accessing your grades and instructor feedback on your work,"Since using Brightspace, what tools on the platform have you used so far:",Which tools did you find the most helpful on Brightspace this semester:,What would help make your experience on Brightspace better? Please explain below.,"Out of the following options, what motivates you most to learn?",How much time do you spend every day on school homework?,How much time do you spend every day on SEO assignments?,Check all the statements below regarding SEO assignments that apply to you:,How often do you experience situations or challenges that make it difficult to learn at home?,"If you want to share any more information on the challenges you're experiencing in your learning environment at home, please do so here.",How would you evaluate your overall academic experience with your instructors this semester?,My instructors have fair rules for the class and are extremely impartial.,My instructors ask each one of us whether we have understood what they taught and help us in case we have doubts.,Did your instructors at SEO encourage you to perform better?,Did your instructors guide you in setting personal targets and developing strategies to achieve that target?,"After each assignment, did your instructor help you in understanding ways to improve your work?",Try to be fair?,Are willing to give extra help on work if you need it?,Are not just satisfied if you pass they care if you are really learning?,Believe that you can get a good grade if you try?,Connect what you are learning in class with your life outside of SEO?,Make an effort to understand what your life is like outside of SEO?,The work that I do for my math classes is challenging and pushes me to learn new concepts and skills.,I look forward to my math class and this makes me happy that I joined SEO.,What I learned in this course is valuable to me.,I knew how to find math resources to help support my progress in this class.,"When asked to work with my classmates on a math problem, I contributed to conversations and shared my ideas.",I found it helpful to work with my classmates on math problems.,What is one big mathematical idea that you learned in this class?,"What activity, topic, or lesson was the most engaging or memorable for you in this class?","What activity, topic, or lesson felt the most confusing or difficult for you in this class?",My instructors made the material accessible for my needs as a learner.,The instructors explained concepts clearly and increased my level of understanding of the course material.,The questions my instructors asked challenged me to think more deeply and/or more critically.,My instructors valued and encouraged my engagement in the classroom.,I received feedback on my work that was helpful and timely.,"I feel seen, appreciated, and valued by my instructors.",I know my instructors believe in my ability to be academically successful.,I can tell that my Math instructor(s) understand the subjects that they are teaching.,The work that I do for my ELA classes is challenging and pushes me to learn new concepts and skills.,I look forward to my ELA class and this makes me happy that I joined SEO.,What I learned in this course is valuable to me.,I knew how to find ELA resources to help support my progress in this class.,"What activity, topic, or lesson was the most engaging or memorable for you in this class?","What activity, topic, or lesson felt the most confusing or difficult for you in this class?",My instructors made the material accessible for my needs as a learner.,The instructors explained concepts clearly and increased my level of understanding of the course material.,The questions my instructors asked challenged me to think more deeply and/or more critically.,My instructors valued and encouraged my engagement in the classroom.,I received feedback on my work that was helpful and timely.,"I feel seen, appreciated, and valued by my instructors.",I know my instructors believe in my ability to be academically successful.,I can tell that my ELA instructor(s) understand the subjects that they are teaching.,"This semester, how would you rate your Advisory/IE class experience at SEO?","What could we do to make the Advisory/IE curriculum at SEO more relevant, helpful and/or meaningful to you?","What would you change about the curriculum or instruction in Advisory/IE class that would improve your experience and success in your high school courses, personal life, and current and future academic pursuits?",How would you rate your opening circle experience in your most recent semester?,Please share the opening circle topics you enjoyed the most.,How would you rate your academic or college advising experience in your most recent semester?,I felt supported and known by my Program Manager/Student Advisor.,I felt comfortable going to my Program Manager/Student Advisor if I had a question or problem.,My Program Manager/Student Advisor was engaging and well-prepared during the Opening Circle.,The Program Manager/Student Advisor Hour sessions were useful to me.,My Program Manager/Student Advisor did a good job building community with me and my SEO peers.,I feel like I had the right amount of 1-on-1 advising meetings with my Program Manager/Student Advisor.,"Are there any specific practices or tools that you learned at SEO that have helped you in your high school and if so, what are they?",Is there anything else you would like to tell us about your SEO experience? Please provide any comments you’d like to share below.
14531,Site A,Class of 2018 (CO18),D,White,,Woman,,SEO is getting me ready for college or my career,I don't have enough supportive instructors who care about me and help me,Disagree,Agree,Disagree,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Poor,Satisfied,I have not noticed any significant changes in my academic performance.,Agree,It prepares you for college.,Always,Sometimes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Moderately Easy,Very Easy,N/A,Very Easy,Naming the courses and tabs to make them more distinguishable.,Very Easy,Very Easy,Very Easy,Moderately Easy,Moderately Easy,"Checked due dates on the calendar tool,Downloaded the Brightspace Pulse App on my phone,Accessed my grades and instructor feedback on assignments",Due date reminders on Brightspace,,"Goal setting - When I set clear, achievable objectives",4-5 Hours,<2 Hours,"I am overwhelmed by the amount of assignments in the program.,I usually find it difficult to complete assignments for the program because of the amount of work I have to complete for my high school classes.",Rarely,,Satisfied,Agree,Strongly Agree,Always,Sometimes,Never,Always,Always,Sometimes,Always,Never,Never,Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Agree,I knew all of it from NC math one and two,None they were all the same,None all the same,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,They were all the same,they were all the same,Strongly Agree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Agree,Good,More personalized,Make it based on the individual,Good,,Good,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,,
14730,Site A,Class of 2018 (CO18),C,White,,Woman,,My classes challenge me to think critically,SEO does not provide me with enough opportunities to build community with my peers.,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Good,Satisfied,My academic performance has worsened.,Disagree,It takes up a lot of time and it's very hard to have a social life but you learn a lot.,Always,Rarely,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Very Easy,Very Easy,Very Easy,Very Easy,It was very easy!,Very Easy,Very Easy,Moderately Easy,Moderately Easy,Moderately Easy,"Checked due dates on the calendar tool,Downloaded the Brightspace Pulse App on my phone,Accessed my grades and instructor feedback on assignments",Due date reminders on Brightspace,I think its great!,Real-life relevance - When lessons incorporate real-world applications and examples,3-4 Hours,2-3 Hours,"I am overwhelmed by the amount of assignments in the program.,I usually find it difficult to complete assignments for the program because of extracurricular commitments.,I usually find it difficult to complete assignments for the program because of the amount of work I have to complete for my high school classes.",Sometimes,n/a,Satisfied,Agree,Disagree,Rarely,Sometimes,Rarely,Always,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,none of them stood out to me,lesson 3,lesson 2 especially the homework,Agree,Disagree,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Agree,when we read about the cave,the rest of them,Disagree,Strongly Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Fair,More peer talk because most of the time she would talk and I would zone out.,Instead of Saturday academy once a month and give us less work.,Excellent,,Excellent,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,
14579,Site A,Class of 2018 (CO18),A,Latinx,,Woman,,SEO is getting me ready for college or my career,SEO does not provide me with enough opportunities to build community with my peers.,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Excellent,Satisfied,I have experienced noticeable improvements in my academic performance.,Strongly Agree,I've learned a lot about myself this year and it's a great opportunity.,Sometimes,Never,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,,Moderately Difficult,Very Easy,Moderately Easy,Very Easy,maybe a space where it shows your missing assignments.,Moderately Easy,Very Easy,Very Easy,Very Easy,Very Easy,Accessed my grades and instructor feedback on assignments,Course announcements,,Social connections - When I have positive peer and teacher relationships,2-3 Hours,3-4 Hours,I usually find it difficult to complete assignments for the program because of the amount of work I have to complete for my high school classes.,Sometimes,,Satisfied,Strongly Agree,Agree,Always,Always,Sometimes,Always,Always,Always,Always,Always,Always,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,I've learned about equations.,Jeopardy,Not surre,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,I'm not really sure.,The project,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Fair,,Nothing,Good,,Poor,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,I used some of the things I used in SEO for my high school classes like math things.,
14583,Site A,Class of 2018 (CO18),B,"Black or African American,Latinx",,Woman,,"SEO inspires me to do my best,I have supportive instructors who care about me and help me,Students and staff treat each other with respect and fairness,My classes challenge me to think critically,SEO is getting me ready for college or my career",My classes don't do enough to challenge me to think critically,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Excellent,Very Satisfied,I have experienced noticeable improvements in my academic performance.,Strongly Agree,I have mentioned it to my friends and I think that it would be great for them because it helps better yourself as an individual and you get to learn more about who you are,Always,Sometimes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,,Very Easy,Very Easy,Very Easy,Very Easy,,Very Easy,Very Easy,Moderately Easy,Moderately Easy,Very Easy,"Adjusted my personal notification settings,Downloaded the Brightspace Pulse App on my phone,Accessed my grades and instructor feedback on assignments,Accessed my instructor's narrative feedback once I complete the course","Email notifications from Brightspace,Badges and awards for course completion",,Social connections - When I have positive peer and teacher relationships,>5 Hours,2-3 Hours,"I find the assignments from SEO Scholars to be meaningful.,I find SEO scholars' assignments difficult and challenging to complete.,I am overwhelmed by the amount of assignments in the program.,I believe that the expectations of SEO High Scholars are manageable and reasonable (weekday time commitment, Saturday time commitment, workload, committee participation - eg. student government or curriculum corps, etc.)",Rarely,,Very Satisfied,Strongly Agree,Strongly Agree,Always,Always,Always,Always,Always,Always,Always,Always,Always,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,I got to learn more about topics that I learned in Math 1 in 8th grade and it helped me better understand them,When we got to go out into breakout rooms and work on our focus tasks and different assignments,All of it was confusing because I struggled on the topics except for distributive property,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Our Identity projects,Nothing it was a very easy class and it helped me understand more of myself outside of class too,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Good,Nothing I overall really liked this semester it was very different and helped me understand what this program is about and how it can help me outside of class,,Good,,Good,Strongly Agree,Strongly Agree,Strongly Agree,N/A,Strongly Agree,Strongly Agree,,
14709,Site A,Class of 2018 (CO18),A,Latinx,,Woman,,SEO is getting me ready for college or my career,SEO does not do enough to inspire me to be a good student,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Good,Satisfied,I have seen slight improvements in my academic performance.,Agree,"I think it's a really good program, i missed a lot of classes because of some unfortunate circumstances, and i think if I were able to stay for a longer time it would be a much more fortunate experience.",Always,Rarely,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,Very Easy,Very Easy,Moderately Easy,Very Easy,As someone who doesn't annotate unless forced too hypothesis is not really something I like.,Very Easy,Very Easy,Very Easy,Very Easy,Very Easy,"Adjusted my personal notification settings,Accessed scholar tech support link,Downloaded the Brightspace Pulse App on my phone,Accessed my grades and instructor feedback on assignments",Email notifications from Brightspace,Nothing I actually really like bright space Canvas 2.0,Intrinsic motivation - When I have genuine interest in the topic,2-3 Hours,<2 Hours,"I find the assignments from SEO Scholars to be meaningful.,I am overwhelmed by the amount of assignments in the program.,I usually find it difficult to complete assignments for the program because of extracurricular commitments.,I usually find it difficult to complete assignments for the program because of the amount of work I have to complete for my high school classes.,I believe that the expectations of SEO High Scholars are manageable and reasonable (weekday time commitment, Saturday time commitment, workload, committee participation - eg. student government or curriculum corps, etc.)",Always,It started at such a bad time and it took a while to catch back up.,Satisfied,Agree,Strongly Agree,Sometimes,Sometimes,Sometimes,Always,Always,Always,Always,Always,Always,Agree,Agree,Agree,Agree,Agree,Agree,It taught me about integers which i found troubling to understand.,Hmm I think just all of it was good.,"A lot of it, but it started to make more sense.",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,"Probably the conversations about carol dweks research, I think it's crazy how someone really devotes their life studies to the idea of growth and fixed mindsets.",None of them really.,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Excellent,Uh I think it was very amazing.,"Hmm maybe I guess changing up the some of the lessons and stuff, I got nothing it was very satisfactory.",Good,,Good,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Getting your work done on time.,I think other than the bad timing it would have been really amazing I think that if I'm allowed to stay in the program it will be better.
14778,Site A,Class of 2018 (CO18),D,Black or African American,,Woman,,"SEO inspires me to do my best,I have supportive instructors who care about me and help me,Students and staff treat each other with respect and fairness,SEO is getting me ready for college or my career",SEO is not getting me ready for college or my career,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Fair,Satisfied,I have seen slight improvements in my academic performance.,Strongly Agree,It's a good program to let you be yourself.,Sometimes,Rarely,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,,Very Difficult,Very Easy,Moderately Difficult,Very Easy,I feel like we should change bright space it's kinda difficult,Moderately Easy,Moderately Easy,Moderately Difficult,Moderately Easy,Moderately Difficult,"Downloaded the Brightspace Pulse App on my phone,Accessed my grades and instructor feedback on assignments","Email notifications from Brightspace,Due date reminders on Brightspace",i don't really know,Real-life relevance - When lessons incorporate real-world applications and examples,2-3 Hours,2-3 Hours,"I find the assignments from SEO Scholars to be meaningful.,I find SEO scholars' assignments difficult and challenging to complete.,I am overwhelmed by the amount of assignments in the program.",Rarely,,Satisfied,Strongly Agree,Strongly Agree,Always,Always,Sometimes,Always,Always,Never,Always,Always,Always,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,i don't know any,don't remember any,i feel like it's the homework,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,The essays,None,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Good,Nothing,nothing,Fair,,Good,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,,
14784,Site A,Class of 2018 (CO18),D,Latinx,,Woman,,"SEO inspires me to do my best,I have supportive instructors who care about me and help me,Students and staff treat each other with respect and fairness,SEO is getting me ready for college or my career",SEO does not provide me with enough opportunities to build community with my peers.,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Good,Satisfied,I have seen slight improvements in my academic performance.,Agree,Because it's been helping me with time management and it helps me not have debt in college and enjoy my college years.,Always,Sometimes,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,,Very Easy,Very Easy,Moderately Difficult,Very Easy,N/A,Moderately Easy,Moderately Easy,Very Easy,Very Easy,Moderately Difficult,"Checked due dates on the calendar tool,Downloaded the Brightspace Pulse App on my phone","Course announcements,Badges and awards for course completion",N/A,Social connections - When I have positive peer and teacher relationships,3-4 Hours,3-4 Hours,"I find SEO scholars' assignments difficult and challenging to complete.,I am overwhelmed by the amount of assignments in the program.,I usually find it difficult to complete assignments for the program because of the amount of work I have to complete for my high school classes.",Sometimes,N/A,Satisfied,Agree,Agree,Always,Sometimes,Rarely,Sometimes,Sometimes,Always,Sometimes,Sometimes,Rarely,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Irrational and rational numbers.,Finding the unit rate.,Irrational and rational numbers.,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Reading stories about different types of intelligence.,None,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Good,N/A,Having more in person classes.,Good,,Good,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,N/A,N/A,I had fun.
14785,Site A,Class of 2018 (CO18),B,White,,Man,,"I have supportive instructors who care about me and help me,My classes challenge me to think critically,SEO is getting me ready for college or my career",SEO does not provide me with enough opportunities to build community with my peers.,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Good,Satisfied,I have experienced noticeable improvements in my academic performance.,Strongly Agree,It is enriching and builds community with your peers.,Always,Always,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Moderately Easy,Very Easy,Very Easy,Very Easy,"N/A, works great",Moderately Easy,Moderately Easy,Moderately Easy,Moderately Easy,Very Easy,"Adjusted my personal notification settings,Checked due dates on the calendar tool,Downloaded the Brightspace Pulse App on my phone,Accessed my grades and instructor feedback on assignments,Accessed my instructor's narrative feedback once I complete the course",Email notifications from Brightspace,"N/A, works great",Intrinsic motivation - When I have genuine interest in the topic,4-5 Hours,3-4 Hours,"I find the assignments from SEO Scholars to be meaningful.,I usually find it difficult to complete assignments for the program because of extracurricular commitments.,I usually find it difficult to complete assignments for the program because of the amount of work I have to complete for my high school classes.,I believe that the expectations of SEO High Scholars are manageable and reasonable (weekday time commitment, Saturday time commitment, workload, committee participation - eg. student government or curriculum corps, etc.)",Always,,Satisfied,Strongly Agree,Agree,Sometimes,Rarely,Sometimes,Always,Always,Always,Always,Always,Sometimes,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,imaginary numbers,Fractions,imaginary numbers,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Learning about Plato's Allegory,None,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Fair,Make it feel more personal and the instructor more catered to an individual's need.,Have more lessons about college and future. Time management is a skill I feel the need to discuss in our identity/ELA classes.,Excellent,,Good,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Writing and speaking articulately.,"SEO has made me more aware of my impact on the community and shows me that I have the potential to be great. They have helped me better work through ELA, navigating mathematical equations, and getting out of my shell, communicating with others."
14783,Site A,Class of 2018 (CO18),C,Latinx,,Woman,,"SEO inspires me to do my best,SEO is getting me ready for college or my career",SEO does not provide me with enough opportunities to build community with my peers.,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Good,Satisfied,I have experienced noticeable improvements in my academic performance.,Agree,"I would recommend SEO to a friend because it's a good opportunity to learn new things and prepare you for college. It helps you with any problems you may have, it helps you throughout your high school years!",Sometimes,Sometimes,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,,Very Easy,Very Easy,Moderately Easy,Moderately Easy,"Sometimes the pages wouldn't load or the pages would be blank, but besides that everything else was okay!",Very Easy,Very Easy,Moderately Easy,Very Easy,Moderately Easy,"Adjusted my personal notification settings,Checked due dates on the calendar tool,Downloaded the Brightspace Pulse App on my phone,Accessed my grades and instructor feedback on assignments","Email notifications from Brightspace,Due date reminders on Brightspace",Everything was good!,Praise - When I get timely recognition for hard work and growth,2-3 Hours,<2 Hours,"I find the assignments from SEO Scholars to be meaningful.,I find the homework and assignments from SEO Scholars to be relevant and well-connected to my high school coursework.,I am overwhelmed by the amount of assignments in the program.,I usually find it difficult to complete assignments for the program because of the amount of work I have to complete for my high school classes.",Rarely,,Satisfied,Agree,Agree,Sometimes,Sometimes,Sometimes,Sometimes,Always,Sometimes,Always,Always,Always,Agree,Disagree,Agree,Agree,Agree,Agree,"I was able to further learn about the power of i, & understand it a little better.","When we would go over the problems, I was able to better understand what was going on.","Probably the “always true” “sometimes true” “never true” proving whether a problem is one of those. It was really confusing, jsut when I thought I understood it i went to another problem & was confused once again.",Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Emotional Intelligence was the most engaging for me in class. I found this topic very interesting.,None,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Good,"Maybe interact more, a little more of one on one or smaller group conversations!",More getting to know one another better!,Fair,,Good,Agree,Strongly Agree,Agree,N/A,Agree,Disagree,"Time management, lessons, all those really helped me with my high school work. I'm learning to better manage myself, keep organized, prepared, manage my time better, etc.",It's going pretty well so far! I had a couple stressful moments here and there but I was able to get through them & persevere!
14532,Site A,Class of 2018 (CO18),B,"Black or African American,Latinx,Multiracial",,"Woman,Cisgender",,"I have supportive instructors who care about me and help me,SEO is getting me ready for college or my career",SEO does not provide me with enough opportunities to build community with my peers.,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Good,Satisfied,I have not noticed any significant changes in my academic performance.,Agree,I think that it's a very good program for those who seek a higher education.,Always,Rarely,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,Moderately Easy,Moderately Easy,Moderately Easy,Moderately Easy,,Moderately Easy,Moderately Easy,Moderately Easy,Moderately Easy,Moderately Easy,Checked due dates on the calendar tool,"Email notifications from Brightspace,Due date reminders on Brightspace",,Real-life relevance - When lessons incorporate real-world applications and examples,3-4 Hours,2-3 Hours,"I find the assignments from SEO Scholars to be meaningful.,I am overwhelmed by the amount of assignments in the program.,I usually find it difficult to complete assignments for the program because of the amount of work I have to complete for my high school classes.",Rarely,,Satisfied,Agree,Agree,Always,Always,Always,Always,Always,Always,Always,Sometimes,Sometimes,Agree,Agree,Agree,Agree,Agree,Agree,I found different ways of approaching solving equations.,We played a game of jeopardy together and it helped review the content we have learned and connect with my peers,None,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,I liked when we would have discussions. It was good to hear the views of others in the program.,I felt the the ratio of math and ela work was not fair. There seemed to be more to do in ELA then in math. So I found myself struggling to balance SEO work with school work,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Fair,I feel that it had a lot of work. The content that was in it was good and some wonderful discussion was brought from it. But I think that it would be more beneficial if we spent less time in the particular category.,I thought that we learned will really help me navigate different experiences I will have later in life.,Good,,Good,Agree,Agree,Agree,Agree,Agree,Agree,,
